sample_id,ground_truth,streaming_transcription,batch_transcription,streaming_wer,substitutions,deletions,insertions,streaming_matches_batch,comparison,streaming_word_errs,batch_word_errs
e820357c-d0b5-11dd-6085-7c8a73e9d335,I was wondering if you could help me find the nearest public library that has evening hours on Thursday because I work late and,I was wondering if you could help me find the nearest public library that has evening hours on Thursday because I were late and,I was wondering if you could help me find the nearest public library that has even hours on Thursday because I were late and,0.041666666666666664,1,0,0,False,streaming_better,2,4
b980f45a-7289-f63f-0923-2fe102deb8c2,"The little green light on my laptop charger isn't on anymore, so",The little green light on my laptop charger isn't on anymore.,The little green light on my laptop charger isn't on anymore.,0.07692307692307693,0,1,0,True,same,1,1
03fdf223-366c-280d-ac70-3be5555afb6a,Could you compare the main features and pricing plans of the top three cloud storage providers to help me decide which service best suits my personal data backup needs?,Could you compare the main features and pricing plans of the top three cloud storage providers to help me decide which service best suits my personal data backup needs?,Could you compare the main features and pricing plans of the top three cloud storage providers to help me decide which service best suits my personal data backup needs?,0.5517241379310345,0,16,0,True,same,0,0
bcdf094b-6bc3-e5eb-e041-01a8de913e32,"I'm trying to dispute a transaction from last month, but the online form keeps giving me an error message right after I upload the supporting documents for the claim, and","I'm trying to dispute a transaction from last month, but the online forum keeps giving me an error message right after I upload the supporting documents for the claim. And...","I'm trying to dispute a transaction from last month, but the online forum keeps giving me an error message right after I upload the supporting documents for the claim.",0.03225806451612903,1,0,0,False,streaming_better,2,3
989bf9c5-b087-994b-3b65-ff2dd43a5b00,I have an upcoming trip to Europe next month and I need to inform my bank so that they don't flag my credit card for unusual activity while I'm traveling abor,"I have an upcoming trip to Europe next month, and I need to inform my bank so that I don't flag my credit card for unusual activity while I'm traveling aboard.","I have an upcoming trip to Europe next month, and I need to inform my bank so that don't flag my credit card for unusual activity while I'm traveling aboard.",0.030303030303030304,1,0,0,False,same,3,3
9eba9131-2cf8-873d-9dc3-207ad8276555,I have an important job interview for tomorrow for a project manager position and I'd like you to help me prepare by asking me some common behavioral questions related to leadership and conflict resolution.,I have an important type interview for tomorrow for a project manager position and I'd like you to help me prepare by asking me some common behavioral questions related to leadership and conflict resolution.,I have an important tub interview for tomorrow for a project manager position and I'd like you to help me prepare by asking me some common behavioralist questions related to leadership and conflict resolution.,0.027777777777777776,1,0,0,False,streaming_better,2,4
9ee9d60f-f794-36f2-cc7b-53bfb396ef1d,"I need to find a comprehensive guide on how to properly care for a bonsai tree indoors, specifically focusing on watering techniques, soil composition, and seasonal pruning for a ficus species.","I need to find a comprehensive guide on how to properly care for a bonsai tree indoors, specifically focusing on watering techniques, soil composition and seasonal pruning for a fecus species.","I need to find a comprehensive guide on how to properly care for a bonsai tree indoors, specifically focusing on watering techniques, soil composition and seasonal pruning for a fecus species.",0.0967741935483871,1,2,0,True,same,2,2
4484a2a0-a854-cd3f-74ef-75c7231b39b8,"I'm trying to understand the billing cycle for my new internet service, specifically whether I'm billed for the month ahead or for the month that has just passed. So",I'm trying to understand the billing cycle for my new Internet service specifically whether I'm built for the month ahead or for the month that has just passed so,"I am trying to understand the billing cycle for my new Internet service, specifically whether I am built for the month ahead or for the month that has just passed.",0.03571428571428571,1,0,0,False,streaming_better,2,6
fbe7161c-ac49-4909-1608-3a32179341f3,Find a nearby gas station that is open right now and has diesel fuel.,Find anauric acid station that is open right now and has diesel fuel.,Find an urban acid station that is open right now and has diesel fuel,0.21428571428571427,2,1,0,False,streaming_better,5,6
00491bfc-a029-ee29-4523-f34805aadffa,"I'm trying to choose a new internet service provider for my apartment. Can you compare the available plans in my area based on download speed, monthly cost, data caps, and customer review","I'm trying to choose a new internet service provider for my apartment. Can you compare the available plans in my area based on download speed, monthly cost, data cups, and customer reviews?","I'm trying to choose a new internet service provider for my apartment. Can you compare the available plants in my area based on download speed, monthly cost, data cups, and customer reviews?",0.06060606060606061,2,0,0,False,streaming_better,4,6
ca46319c-e790-a8f6-4793-7ab542a6d95d,What's the meaning of this idiom barking up the wrong,What's the meaning of this idiom? Barking up the wrong,What's the meaning of this idiom? Barking up the wrong...,0.09090909090909091,1,0,0,False,same,0,0
